model,recording,joint,units,minimum,maximum,source,source_sha256
V1,walk_backward,6,logical degrees,0.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,walk_backward,7,logical degrees,135.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,turn_left,0,logical degrees,135.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,turn_left,1,logical degrees,45.0,90.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,turn_left,2,logical degrees,45.0,90.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,turn_left,3,logical degrees,135.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,turn_left,4,logical degrees,0.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,turn_left,5,logical degrees,135.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,turn_left,6,logical degrees,0.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,turn_left,7,logical degrees,135.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,turn_right,0,logical degrees,90.0,135.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,turn_right,1,logical degrees,0.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,turn_right,2,logical degrees,0.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,turn_right,3,logical degrees,90.0,135.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,turn_right,4,logical degrees,0.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,turn_right,5,logical degrees,135.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
